year,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,teams,pointsPlayed,oPointsPlayed,dPointsPlayed,minutesPlayed,possessions,oEfficiency,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage
2012,sredding,Schuyler Redding,15,3.4,1.53,1.87,2.27,8.8,91.03,0.0,1.47,0.0,0.6,0.93,0.0,0.0,CIN,,,,,,,,,,,
2012,tcarpente,Travis Carpenter,11,2.64,0.64,2.0,2.27,6.36,94.59,0.0,0.73,0.0,0.36,0.73,0.0,0.0,IND,,,,,,,,,,,
2012,lchou,Leon Chou,13,2.31,1.69,0.62,2.23,12.85,90.27,0.0,1.38,0.0,0.54,1.85,0.0,0.0,PHS,,,,,,,,,,,
2012,ibryant,Isaiah Bryant,10,3.0,1.7,1.3,2.2,9.5,91.35,0.0,1.0,0.0,0.5,0.7,0.0,0.0,CON,,,,,,,,,,,
2012,ashull,Art Shull,15,3.07,1.27,1.8,2.13,7.8,86.67,0.0,1.2,0.0,0.53,0.8,0.0,0.0,PHS,,,,,,,,,,,
2012,analavald,Aman Nalavalde,12,2.58,0.5,2.08,2.08,4.92,86.76,0.0,0.75,0.0,0.0,0.25,0.0,0.0,PHS,,,,,,,,,,,
2012,cpeters,Casey Peters,12,2.5,1.0,1.5,2.08,5.33,88.89,0.0,0.67,0.0,0.0,0.25,0.0,0.0,RIR,,,,,,,,,,,
2012,dhughes,David Hughes,13,3.15,1.08,2.08,2.08,7.15,94.9,0.0,0.92,0.0,0.46,0.31,0.0,0.0,CIN,,,,,,,,,,,
2012,kplew,Keenan Plew,15,4.8,2.4,2.4,2.07,18.2,94.14,0.0,2.4,0.0,0.4,0.07,0.0,0.0,IND,,,,,,,,,,,
2012,mglazer,Matthew Glazer,16,3.31,1.38,1.94,2.06,7.38,86.76,0.0,1.13,0.0,0.5,0.38,0.0,0.0,PHS,,,,,,,,,,,
2012,aaylward,Andrew Aylward,1,0.0,0.0,0.0,2.0,6.0,,0.0,1.0,0.0,0.0,3.0,0.0,0.0,CLB,,,,,,,,,,,
2012,alucarott,Andrew Lucarotti,15,3.73,2.87,0.87,2.0,12.87,96.02,0.0,1.4,0.0,0.73,0.4,0.0,0.0,DET,,,,,,,,,,,
2012,bzid,Brian Zid,15,3.07,1.13,1.93,2.0,10.4,90.17,0.0,1.13,0.0,0.27,0.33,0.0,0.0,RIR,,,,,,,,,,,
2012,dvalentin,David Valentine-Elam,13,2.08,0.46,1.62,2.0,3.15,89.13,0.0,0.38,0.0,0.15,0.46,0.0,0.0,CLB,,,,,,,,,,,
2012,dwheeler,David Wheeler,12,2.5,0.75,1.75,2.0,8.5,87.93,0.0,1.17,0.0,0.5,1.17,0.0,0.0,ROC,,,,,,,,,,,
2012,janderson1,Joe Anderson,10,2.6,1.0,1.6,2.0,13.8,87.9,0.0,1.9,0.0,0.1,1.4,0.0,0.0,CON,,,,,,,,,,,
2012,joaks,Joe Oaks,1,1.0,1.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,IND,,,,,,,,,,,
2012,kdziak,KJ Dziak,13,3.85,3.08,0.77,2.0,16.15,92.51,0.0,2.62,0.0,0.15,0.92,0.0,0.0,ROC,,,,,,,,,,,
2012,mpanna,Michael Panna,12,2.42,1.17,1.25,2.0,6.58,85.87,0.0,1.08,0.0,0.33,1.0,0.0,0.0,PHS,,,,,,,,,,,
2012,pcherosky,Phil Cherosky,13,2.85,2.31,0.54,2.0,13.08,89.01,0.0,1.62,0.0,0.38,1.15,0.0,0.0,CLB,,,,,,,,,,,
2012,bivers,Ben Ivers,8,1.38,0.0,1.38,1.88,1.75,,0.0,0.25,0.0,0.13,0.88,0.0,0.0,IND,,,,,,,,,,,
2012,jcari,Joey Cari,8,1.38,1.13,0.25,1.88,4.25,89.47,0.0,0.5,0.0,0.13,1.13,0.0,0.0,IND,,,,,,,,,,,
2012,celworth,Chris Elworth,7,1.29,0.29,1.0,1.86,5.29,97.37,0.0,0.71,0.0,0.14,1.43,0.0,0.0,CIN,,,,,,,,,,,
2012,msmith,Matt Smith,14,2.5,0.79,1.71,1.86,8.21,89.84,0.0,0.93,0.0,0.5,0.79,0.0,0.0,RIR,,,,,,,,,,,
2012,erathbun,Eric Rathbun,5,1.2,0.2,1.0,1.8,8.2,89.13,0.0,1.0,0.0,0.0,1.6,0.0,0.0,CON,,,,,,,,,,,
2012,troth,Terry Roth,9,1.33,0.22,1.11,1.78,1.89,,0.0,0.22,0.0,0.0,0.67,0.0,0.0,RIR,,,,,,,,,,,
2012,jshepard,Joshua Shepard,13,2.85,1.15,1.69,1.77,12.69,96.49,0.0,1.38,0.0,0.15,0.46,0.0,0.0,IND,,,,,,,,,,,
2012,acain,Anthony Cain,12,1.92,0.67,1.25,1.75,7.42,89.0,0.0,0.92,0.0,0.08,0.83,0.0,0.0,CIN,,,,,,,,,,,
2012,msteiner,Mitchell Steiner,12,2.17,1.08,1.08,1.75,7.58,94.79,0.0,1.08,0.0,0.25,0.92,0.0,0.0,ROC,,,,,,,,,,,
2012,bsmith,Brodie Smith,14,3.5,2.93,0.57,1.71,10.29,85.71,0.0,1.71,0.0,0.57,0.5,0.0,0.0,IND,,,,,,,,,,,
2012,dbrandolp,David Brandolph,16,3.19,2.25,0.94,1.69,8.25,85.71,0.0,1.38,0.0,0.38,0.25,0.0,0.0,PHS,,,,,,,,,,,
2012,araymond,Austin Raymond,8,1.5,0.38,1.13,1.63,3.13,92.59,0.0,0.38,0.0,0.0,0.5,0.0,0.0,CON,,,,,,,,,,,
2012,cferguson,Christo Ferguson,13,3.62,1.62,2.0,1.62,16.15,95.02,0.0,1.92,0.0,0.54,0.46,0.0,0.0,DET,,,,,,,,,,,
2012,crebholz,Cody Rebholz,10,1.5,1.0,0.5,1.6,2.7,90.0,0.0,0.3,0.0,0.1,0.5,0.0,0.0,RIR,,,,,,,,,,,
2012,dkhoadang,Dang Khoa Dang,10,1.9,0.3,1.6,1.6,3.3,89.19,0.0,0.4,0.0,0.2,0.3,0.0,0.0,RIR,,,,,,,,,,,
2012,mford,Michael Ford,10,2.0,1.4,0.6,1.6,5.6,86.15,0.0,0.9,0.0,0.2,0.7,0.0,0.0,CLB,,,,,,,,,,,
2012,mheath,Matthew Heath,10,1.5,0.3,1.2,1.6,2.8,87.5,0.0,0.4,0.0,0.1,0.6,0.0,0.0,RIR,,,,,,,,,,,
2012,ppierce,Player Pierce,10,2.4,1.7,0.7,1.6,7.8,97.5,0.0,1.0,0.0,0.3,0.5,0.0,0.0,CIN,,,,,,,,,,,
2012,hrasmusse,Hans Rasmussen,12,3.33,0.92,2.42,1.58,9.92,92.97,0.0,1.58,0.0,0.67,0.5,0.0,0.0,IND,,,,,,,,,,,
2012,lmurphy,Lucas Murphy,7,1.57,1.29,0.29,1.57,6.0,91.3,0.0,0.86,0.0,0.0,0.86,0.0,0.0,CON,,,,,,,,,,,
2012,abarnhart,Andy Barnhart,9,1.11,0.56,0.56,1.56,3.56,88.89,0.0,0.44,0.0,0.11,1.0,0.0,0.0,DET,,,,,,,,,,,
2012,mhuber,Marc Huber,8,1.5,1.13,0.38,1.5,9.88,97.53,0.0,1.5,0.0,0.13,1.63,0.0,0.0,IND,,,,,,,,,,,
2012,bblatz,Ben Blatz,11,2.73,1.09,1.64,1.45,14.82,97.02,0.0,1.64,0.0,0.82,1.18,0.0,0.0,CIN,,,,,,,,,,,
2012,jmeyers,Jeff Meyers,9,1.22,0.44,0.78,1.44,4.11,88.1,0.0,0.56,0.0,0.0,0.78,0.0,0.0,CLB,,,,,,,,,,,
2012,tburns,TJ Burns,9,2.0,0.44,1.56,1.44,7.44,98.53,0.0,1.0,0.0,0.22,0.67,0.0,0.0,ROC,,,,,,,,,,,
2012,bmurphy,Ben Murphy,12,2.83,1.0,1.83,1.42,13.25,95.21,0.0,1.75,0.0,0.33,0.67,0.0,0.0,DET,,,,,,,,,,,
2012,dgrandoni,Dana Grandoni,12,2.0,0.75,1.25,1.42,7.0,90.32,0.0,0.75,0.0,0.33,0.5,0.0,0.0,RIR,,,,,,,,,,,
2012,jkozicky,Joseph Kozicky,10,1.5,0.4,1.1,1.4,5.2,89.66,0.0,0.6,0.0,0.0,0.5,0.0,0.0,CIN,,,,,,,,,,,
2012,rsteinhau,Rafe Steinhauer,10,3.0,1.6,1.4,1.4,14.6,92.99,0.0,1.7,0.0,0.5,0.6,0.0,0.0,CON,,,,,,,,,,,
2012,jbansfiel,Johnny Bansfield,11,2.36,1.45,0.91,1.36,17.18,96.43,0.0,2.18,0.0,0.36,1.55,0.0,0.0,DET,,,,,,,,,,,
2012,abosco,Andrew Bosco,9,3.0,1.78,1.22,1.33,15.22,89.54,0.0,1.78,0.0,0.11,0.22,0.0,0.0,CON,,,,,,,,,,,
